"Date of Rally","City","State","Venue","Estimated Visitors","period"
2016-11-06,"Leesburg","VA","Agricultural hall, Loudoun Fairgrounds",9000,"General"
2016-11-07,"Sarasota","FL","Robarts Arena, Sarasota County Fairgrounds",5000,"General"
2016-11-07,"Raleigh","NC","Dorton Arena",7000,"General"
2016-11-07,"Scranton","PA","Lackawanna College Student Union",5000,"General"
2016-11-07,"Manchester","NH","SNHU Arena",12000,"General"
2016-11-07,"Grand Rapids","MI","DeVos Place Convention Center",4200,"General"
2016-12-01,"Cincinnati","OH","U.S. Bank Arena",NA,"Postelex"
2016-12-06,"Fayetteville","NC","Crown Coliseum",NA,"Postelex"
2016-12-08,"Des Moines","IA","Iowa Events Center",NA,"Postelex"
2016-12-09,"Baton Rouge","LA","Dow Chemical Hangar, Baton Rouge Metropolitan Airport",NA,"Postelex"
2016-12-09,"Grand Rapids","MI","DeltaPlex Arena",NA,"Postelex"
2016-12-13,"West Allis","WI","Wisconsin Exposition Center, Wisconsin State Fair Park",NA,"Postelex"
2016-12-15,"Hershey","PA","Giant Center",NA,"Postelex"
2016-12-16,"Orlando","FL","Central Florida Fairgrounds",NA,"Postelex"
2016-12-17,"Mobile","AL","Ladd-Peebles Stadium",NA,"Postelex"
2017-02-18,"Melbourne","FL","Orlando Melbourne International Airport",9000,"Presidency"
2017-03-15,"Nashville","TN","Nashville Municipal Auditorium",6500,"Presidency"
2017-03-20,"Louisville","KY","Kentucky Exposition Center",18000,"Presidency"
2017-04-29,"Harrisburg","PA","Pennsylvania Farm Show Complex & Expo Center",NA,"Presidency"
2017-06-21,"Cedar Rapids","IA","U.S Cellular Center",NA,"Presidency"
2017-07-25,"Youngstown","OH","Covelli Center",7000,"Presidency"
