"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Tuesday, September 13, 2016","Clive","IA","7 Flags Event Center","1,600","General"
"Wednesday, September 14, 2016","Canton","OH","Canton Memorial Civic Center","6,000","General"
"Thursday, September 15, 2016","Laconia","NH","Laconia Middle School","600","General"
"Friday, September 16, 2016","Miami","FL","Knight Center Complex","","General"
"Saturday, September 17, 2016","Colorado Springs","CO","Colorado Jet Center, Colorado Springs Airport","","General"
"Monday, September 19, 2016","Estero","FL","Germain Arena","8,000","General"
"Tuesday, September 20, 2016","High Point","NC","Millis Athletic Convocation Center, High Point University","2,000","General"
"Tuesday, September 20, 2016","Kenansville","NC","Duplin County Events Center","6,000","General"
"Wednesday, September 21, 2016","Toledo","OH","Stranahan Theater","","General"
"Thursday, September 22, 2016","Chester Township","PA","Sun Center Studios","3,000
plus 000s","General"
"Saturday, September 24, 2016","Roanoke","VA","Berglund Center","9,000","General"
"Tuesday, September 27, 2016","Melbourne","FL","Orlando Melbourne International Airport","","General"
"Wednesday, September 28, 2016","Council Bluffs","IA","Mid-America Center","1,200","General"
"Wednesday, September 28, 2016","Waukesha","WI","Waukesha County Expo Center","1,500","General"
"Thursday, September 29, 2016","Bedford","NH","NH Sportsplex","850","General"
"Friday, September 30, 2016","Novi","MI","Suburban Collection Showplace","6,000","General"
"Saturday, October 1, 2016","Manheim","PA","Spooky Nook Sports","6,000","General"
"Monday, October 3, 2016","Pueblo","CO","Pueblo Convention Center","2,000","General"
"Monday, October 3, 2016","Loveland","CO","Budweiser Events Center","8,000","General"
"Tuesday, October 4, 2016","Prescott Valley","AZ","Prescott Valley Event Center","7,000","General"
"Wednesday, October 5, 2016","Henderson","NV","Henderson Pavilion","7,000","General"
"Wednesday, October 5, 2016","Reno","NV","Reno-Sparks Convention Center","","General"
"Monday, October 10, 2016","Ambridge","PA","Ambridge Area High School","3,000","General"
"Monday, October 10, 2016","Wilkes-Barre","PA","Mohegan Sun Arena at Casey Plaza","9,000","General"
"Tuesday, October 11, 2016","Panama City Beach","FL","Aaron Bessant Amphitheater, Aaron Bessant Park","8,500","General"
"Wednesday, October 12, 2016","Ocala","FL","Southeastern Livestock Pavilion","12,000","General"
"Wednesday, October 12, 2016","Lakeland","FL","Lakeland Linder Regional Airport","7,000","General"
"Thursday, October 13, 2016","West Palm Beach","FL","South Florida Fairgrounds Expo Center","6,000","General"
"Thursday, October 13, 2016","Cincinnati","OH","U.S. Bank Arena","","General"
"Friday, October 14, 2016","Greensboro","NC","White Oak Amphitheatre","4,000","General"
"Friday, October 14, 2016","Charlotte","NC","Charlotte Convention Center","5,000","General"
"Saturday, October 15, 2016","Portsmouth","NH","Toyota of Portsmouth","7,000","General"
"Saturday, October 15, 2016","Bangor","ME","Cross Insurance Center","4,000","General"
"Monday, October 17, 2016","Green Bay","WI","KI Convention Center","3,000","General"
